1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
130.0,628.0,2827.0,2127.0,293.0,2376.0,1783.0,3480.0,4583.0,3249.0,873.0,4125.0,3061.0,990.0,490.0,624.0,0.0,0.0,0.0,0.0,0.0,0.0
130.0,645.0,2890.0,2168.0,305.0,2366.0,1756.0,3420.0,4531.0,3189.0,909.0,4210.0,3042.0,967.0,484.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0
132.0,642.0,2883.0,2165.0,305.0,2323.0,1711.0,3339.0,4424.0,3099.0,902.0,4226.0,3021.0,946.0,470.0,624.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,607.0,2805.0,2128.0,293.0,2212.0,1632.0,3160.0,4218.0,2937.0,872.0,4095.0,2936.0,910.0,447.0,604.0,0.0,0.0,0.0,0.0,0.0,0.0
123.0,562.0,2601.0,2037.0,279.0,2038.0,1479.0,2929.0,3901.0,2708.0,821.0,3863.0,2818.0,850.0,412.0,574.0,0.0,0.0,0.0,0.0,0.0,0.0
110.0,488.0,2343.0,1908.0,246.0,1813.0,1313.0,2647.0,3492.0,2419.0,751.0,3504.0,2673.0,773.0,364.0,519.0,0.0,0.0,0.0,0.0,0.0,0.0
95.0,421.0,2079.0,1770.0,215.0,1611.0,1145.0,2383.0,3136.0,2170.0,666.0,3182.0,2517.0,713.0,324.0,472.0,0.0,0.0,0.0,0.0,0.0,0.0
89.0,382.0,1884.0,1660.0,197.0,1450.0,983.0,2136.0,2816.0,1959.0,610.0,2912.0,2405.0,659.0,294.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0
87.0,368.0,1811.0,1618.0,190.0,1390.0,922.0,2043.0,2693.0,1875.0,588.0,2819.0,2357.0,643.0,284.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0,361.0,1794.0,1610.0,187.0,1372.0,909.0,2017.0,2652.0,1854.0,581.0,2795.0,2339.0,636.0,280.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0
87.0,364.0,1795.0,1612.0,188.0,1371.0,915.0,2011.0,2645.0,1856.0,584.0,2795.0,2337.0,636.0,279.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,378.0,1821.0,1625.0,190.0,1386.0,934.0,2032.0,2682.0,1882.0,595.0,2825.0,2345.0,641.0,283.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,396.0,1864.0,1641.0,194.0,1414.0,948.0,2066.0,2736.0,1922.0,611.0,2887.0,2359.0,649.0,292.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0
95.0,425.0,1956.0,1687.0,204.0,1495.0,1012.0,2176.0,2890.0,2044.0,643.0,3000.0,2412.0,675.0,313.0,464.0,0.0,0.0,0.0,0.0,0.0,0.0
104.0,472.0,2095.0,1748.0,219.0,1577.0,1077.0,2281.0,3060.0,2110.0,683.0,3156.0,2466.0,698.0,323.0,488.0,0.0,0.0,0.0,0.0,0.0,0.0
113.0,513.0,2243.0,1832.0,240.0,1721.0,1221.0,2469.0,3349.0,2300.0,725.0,3361.0,2561.0,743.0,357.0,521.0,0.0,0.0,0.0,0.0,0.0,0.0
116.0,559.0,2421.0,1934.0,252.0,1855.0,1353.0,2664.0,3631.0,2501.0,771.0,3552.0,2671.0,795.0,388.0,563.0,0.0,0.0,0.0,0.0,0.0,0.0
117.0,568.0,2508.0,1989.0,264.0,1958.0,1475.0,2820.0,3845.0,2681.0,795.0,3683.0,2728.0,835.0,409.0,577.0,0.0,0.0,0.0,0.0,0.0,0.0
118.0,573.0,2530.0,2002.0,265.0,2052.0,1594.0,2958.0,3998.0,2818.0,786.0,3742.0,2760.0,869.0,422.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0
118.0,583.0,2571.0,2013.0,270.0,2124.0,1667.0,3068.0,4149.0,2941.0,799.0,3801.0,2786.0,903.0,440.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0
119.0,580.0,2577.0,2029.0,272.0,2168.0,1693.0,3141.0,4235.0,3022.0,795.0,3814.0,2796.0,920.0,449.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,570.0,2573.0,2011.0,266.0,2170.0,1686.0,3152.0,4260.0,3024.0,806.0,3814.0,2809.0,930.0,455.0,589.0,0.0,0.0,0.0,0.0,0.0,0.0
121.0,585.0,2585.0,2020.0,271.0,2163.0,1649.0,3145.0,4230.0,2992.0,806.0,3844.0,2805.0,929.0,456.0,595.0,0.0,0.0,0.0,0.0,0.0,0.0
128.0,594.0,2592.0,2034.0,282.0,2158.0,1580.0,3104.0,4163.0,2929.0,819.0,3855.0,2833.0,907.0,456.0,593.0,0.0,0.0,0.0,0.0,0.0,0.0
129.0,611.0,2705.0,2085.0,293.0,2229.0,1619.0,3179.0,4261.0,3021.0,864.0,4004.0,2908.0,927.0,472.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0
133.0,610.0,2746.0,2111.0,292.0,2240.0,1635.0,3174.0,4270.0,3008.0,887.0,4033.0,2904.0,921.0,470.0,618.0,0.0,0.0,0.0,0.0,0.0,0.0
137.0,615.0,2767.0,2112.0,293.0,2206.0,1620.0,3131.0,4222.0,2966.0,892.0,4050.0,2896.0,911.0,466.0,621.0,0.0,0.0,0.0,0.0,0.0,0.0
